+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                                                      ;
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                                                  ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; inst|limiter                                                                                                                                                                                                               ; 286   ; 0              ; 0            ; 0              ; 294    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|id_router_010|the_default_decode                                                                                                                                                                                      ; 0     ; 15             ; 0            ; 15             ; 15     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|id_router_010                                                                                                                                                                                                         ; 133   ; 0              ; 2            ; 0              ; 142    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|id_router_009|the_default_decode                                                                                                                                                                                      ; 0     ; 15             ; 0            ; 15             ; 15     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|id_router_009                                                                                                                                                                                                         ; 385   ; 0              ; 2            ; 0              ; 394    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|id_router_008|the_default_decode                                                                                                                                                                                      ; 0     ; 15             ; 0            ; 15             ; 15     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|id_router_008                                                                                                                                                                                                         ; 133   ; 0              ; 2            ; 0              ; 142    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|id_router_007|the_default_decode                                                                                                                                                                                      ; 0     ; 15             ; 0            ; 15             ; 15     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|id_router_007                                                                                                                                                                                                         ; 133   ; 0              ; 2            ; 0              ; 142    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|id_router_006|the_default_decode                                                                                                                                                                                      ; 0     ; 15             ; 0            ; 15             ; 15     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|id_router_006                                                                                                                                                                                                         ; 133   ; 0              ; 2            ; 0              ; 142    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|id_router_005|the_default_decode                                                                                                                                                                                      ; 0     ; 15             ; 0            ; 15             ; 15     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|id_router_005                                                                                                                                                                                                         ; 133   ; 0              ; 2            ; 0              ; 142    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|id_router_004|the_default_decode                                                                                                                                                                                      ; 0     ; 15             ; 0            ; 15             ; 15     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|id_router_004                                                                                                                                                                                                         ; 133   ; 0              ; 2            ; 0              ; 142    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|id_router_003|the_default_decode                                                                                                                                                                                      ; 0     ; 15             ; 0            ; 15             ; 15     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|id_router_003                                                                                                                                                                                                         ; 133   ; 0              ; 2            ; 0              ; 142    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|id_router_002|the_default_decode                                                                                                                                                                                      ; 0     ; 15             ; 0            ; 15             ; 15     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|id_router_002                                                                                                                                                                                                         ; 133   ; 0              ; 2            ; 0              ; 142    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|id_router_001|the_default_decode                                                                                                                                                                                      ; 0     ; 15             ; 0            ; 15             ; 15     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|id_router_001                                                                                                                                                                                                         ; 133   ; 0              ; 2            ; 0              ; 142    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|id_router|the_default_decode                                                                                                                                                                                          ; 0     ; 15             ; 0            ; 15             ; 15     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|id_router                                                                                                                                                                                                             ; 133   ; 0              ; 2            ; 0              ; 142    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|addr_router_004|the_default_decode                                                                                                                                                                                    ; 0     ; 15             ; 0            ; 15             ; 15     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|addr_router_004                                                                                                                                                                                                       ; 133   ; 15             ; 6            ; 15             ; 142    ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|addr_router_003|the_default_decode                                                                                                                                                                                    ; 0     ; 15             ; 0            ; 15             ; 15     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|addr_router_003                                                                                                                                                                                                       ; 133   ; 15             ; 6            ; 15             ; 142    ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|addr_router_002|the_default_decode                                                                                                                                                                                    ; 0     ; 15             ; 0            ; 15             ; 15     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|addr_router_002                                                                                                                                                                                                       ; 133   ; 0              ; 6            ; 0              ; 142    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|addr_router_001|the_default_decode                                                                                                                                                                                    ; 0     ; 15             ; 0            ; 15             ; 15     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|addr_router_001                                                                                                                                                                                                       ; 133   ; 0              ; 6            ; 0              ; 142    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|addr_router|the_default_decode                                                                                                                                                                                        ; 0     ; 15             ; 0            ; 15             ; 15     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|addr_router                                                                                                                                                                                                           ; 133   ; 0              ; 6            ; 0              ; 142    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|spi_1_spi_control_port_translator_avalon_universal_slave_0_agent_rdata_fifo                                                                                                                                           ; 77    ; 41             ; 0            ; 41             ; 34     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|spi_1_spi_control_port_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                                                                             ; 173   ; 39             ; 0            ; 39             ; 132    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|spi_1_spi_control_port_translator_avalon_universal_slave_0_agent|uncompressor                                                                                                                                         ; 68    ; 1              ; 0            ; 1              ; 66     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|spi_1_spi_control_port_translator_avalon_universal_slave_0_agent                                                                                                                                                      ; 344   ; 38             ; 48           ; 38             ; 372    ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|mem_if_ddr2_emif_avl_translator_avalon_universal_slave_0_agent_rdata_fifo                                                                                                                                             ; 301   ; 41             ; 0            ; 41             ; 258    ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|mem_if_ddr2_emif_avl_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                                                                               ; 425   ; 39             ; 0            ; 39             ; 384    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|mem_if_ddr2_emif_avl_translator_avalon_universal_slave_0_agent|uncompressor                                                                                                                                           ; 68    ; 1              ; 0            ; 1              ; 66     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|mem_if_ddr2_emif_avl_translator_avalon_universal_slave_0_agent                                                                                                                                                        ; 1296  ; 265            ; 272          ; 265            ; 1362   ; 265             ; 265           ; 265             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|sysid_control_slave_translator_avalon_universal_slave_0_agent_rdata_fifo                                                                                                                                              ; 77    ; 41             ; 0            ; 41             ; 34     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|sysid_control_slave_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                                                                                ; 173   ; 39             ; 0            ; 39             ; 132    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|sysid_control_slave_translator_avalon_universal_slave_0_agent|uncompressor                                                                                                                                            ; 68    ; 1              ; 0            ; 1              ; 66     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|sysid_control_slave_translator_avalon_universal_slave_0_agent                                                                                                                                                         ; 344   ; 38             ; 48           ; 38             ; 372    ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|spi_2_spi_control_port_translator_avalon_universal_slave_0_agent_rdata_fifo                                                                                                                                           ; 77    ; 41             ; 0            ; 41             ; 34     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|spi_2_spi_control_port_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                                                                             ; 173   ; 39             ; 0            ; 39             ; 132    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|spi_2_spi_control_port_translator_avalon_universal_slave_0_agent|uncompressor                                                                                                                                         ; 68    ; 1              ; 0            ; 1              ; 66     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|spi_2_spi_control_port_translator_avalon_universal_slave_0_agent                                                                                                                                                      ; 344   ; 38             ; 48           ; 38             ; 372    ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|timer_s1_translator_avalon_universal_slave_0_agent_rdata_fifo                                                                                                                                                         ; 77    ; 41             ; 0            ; 41             ; 34     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|timer_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                                                                                           ; 173   ; 39             ; 0            ; 39             ; 132    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|timer_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                                                                                                       ; 68    ; 1              ; 0            ; 1              ; 66     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|timer_s1_translator_avalon_universal_slave_0_agent                                                                                                                                                                    ; 344   ; 38             ; 48           ; 38             ; 372    ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|led_s1_translator_avalon_universal_slave_0_agent_rdata_fifo                                                                                                                                                           ; 77    ; 41             ; 0            ; 41             ; 34     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|led_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                                                                                             ; 173   ; 39             ; 0            ; 39             ; 132    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|led_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                                                                                                         ; 68    ; 1              ; 0            ; 1              ; 66     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|led_s1_translator_avalon_universal_slave_0_agent                                                                                                                                                                      ; 344   ; 38             ; 48           ; 38             ; 372    ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|button_s1_translator_avalon_universal_slave_0_agent_rdata_fifo                                                                                                                                                        ; 77    ; 41             ; 0            ; 41             ; 34     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|button_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                                                                                          ; 173   ; 39             ; 0            ; 39             ; 132    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|button_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                                                                                                      ; 68    ; 1              ; 0            ; 1              ; 66     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|button_s1_translator_avalon_universal_slave_0_agent                                                                                                                                                                   ; 344   ; 38             ; 48           ; 38             ; 372    ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|mm_clock_crossing_bridge_io_s0_translator_avalon_universal_slave_0_agent_rdata_fifo                                                                                                                                   ; 77    ; 41             ; 0            ; 41             ; 34     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|mm_clock_crossing_bridge_io_s0_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                                                                     ; 173   ; 39             ; 0            ; 39             ; 132    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|mm_clock_crossing_bridge_io_s0_translator_avalon_universal_slave_0_agent|uncompressor                                                                                                                                 ; 68    ; 1              ; 0            ; 1              ; 66     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|mm_clock_crossing_bridge_io_s0_translator_avalon_universal_slave_0_agent                                                                                                                                              ; 344   ; 38             ; 48           ; 38             ; 372    ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|jtag_uart_avalon_jtag_slave_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                                                                        ; 173   ; 39             ; 0            ; 39             ; 132    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|jtag_uart_avalon_jtag_slave_translator_avalon_universal_slave_0_agent|uncompressor                                                                                                                                    ; 68    ; 1              ; 0            ; 1              ; 66     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|jtag_uart_avalon_jtag_slave_translator_avalon_universal_slave_0_agent                                                                                                                                                 ; 344   ; 38             ; 48           ; 38             ; 372    ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|onchip_memory_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                                                                                   ; 173   ; 39             ; 0            ; 39             ; 132    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|onchip_memory_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                                                                                               ; 68    ; 1              ; 0            ; 1              ; 66     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|onchip_memory_s1_translator_avalon_universal_slave_0_agent                                                                                                                                                            ; 344   ; 38             ; 48           ; 38             ; 372    ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|nios2_qsys_jtag_debug_module_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                                                                       ; 173   ; 39             ; 0            ; 39             ; 132    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|nios2_qsys_jtag_debug_module_translator_avalon_universal_slave_0_agent|uncompressor                                                                                                                                   ; 68    ; 1              ; 0            ; 1              ; 66     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|nios2_qsys_jtag_debug_module_translator_avalon_universal_slave_0_agent                                                                                                                                                ; 344   ; 38             ; 48           ; 38             ; 372    ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|stored_interface_block_0_avalon_master_translator_avalon_universal_master_0_agent                                                                                                                                     ; 226   ; 46             ; 106          ; 46             ; 165    ; 46              ; 46            ; 46              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|camera_interface_block_0_avalon_master_translator_avalon_universal_master_0_agent                                                                                                                                     ; 226   ; 46             ; 106          ; 46             ; 165    ; 46              ; 46            ; 46              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|mm_clock_crossing_bridge_io_m0_translator_avalon_universal_master_0_agent                                                                                                                                             ; 219   ; 56             ; 108          ; 56             ; 165    ; 56              ; 56            ; 56              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|nios2_qsys_data_master_translator_avalon_universal_master_0_agent                                                                                                                                                     ; 222   ; 50             ; 106          ; 50             ; 165    ; 50              ; 50            ; 50              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|nios2_qsys_instruction_master_translator_avalon_universal_master_0_agent                                                                                                                                              ; 219   ; 56             ; 108          ; 56             ; 165    ; 56              ; 56            ; 56              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|spi_1_spi_control_port_translator                                                                                                                                                                                     ; 96    ; 19             ; 48           ; 19             ; 56     ; 19              ; 19            ; 19              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|mem_if_ddr2_emif_avl_translator                                                                                                                                                                                       ; 598   ; 1              ; 7            ; 1              ; 582    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|sysid_control_slave_translator                                                                                                                                                                                        ; 112   ; 3              ; 31           ; 3              ; 35     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|spi_2_spi_control_port_translator                                                                                                                                                                                     ; 96    ; 19             ; 48           ; 19             ; 56     ; 19              ; 19            ; 19              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|timer_s1_translator                                                                                                                                                                                                   ; 96    ; 19             ; 48           ; 19             ; 55     ; 19              ; 19            ; 19              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|led_s1_translator                                                                                                                                                                                                     ; 112   ; 3              ; 33           ; 3              ; 70     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|button_s1_translator                                                                                                                                                                                                  ; 112   ; 3              ; 33           ; 3              ; 36     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|mm_clock_crossing_bridge_io_s0_translator                                                                                                                                                                             ; 112   ; 1              ; 22           ; 1              ; 84     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|jtag_uart_avalon_jtag_slave_translator                                                                                                                                                                                ; 112   ; 2              ; 34           ; 2              ; 70     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|onchip_memory_s1_translator                                                                                                                                                                                           ; 112   ; 4              ; 17           ; 4              ; 88     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|nios2_qsys_jtag_debug_module_translator                                                                                                                                                                               ; 112   ; 3              ; 23           ; 3              ; 83     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|stored_interface_block_0_avalon_master_translator                                                                                                                                                                     ; 120   ; 44             ; 0            ; 44             ; 116    ; 44              ; 44            ; 44              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|camera_interface_block_0_avalon_master_translator                                                                                                                                                                     ; 120   ; 12             ; 0            ; 12             ; 83     ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|mm_clock_crossing_bridge_io_m0_translator                                                                                                                                                                             ; 91    ; 29             ; 2            ; 29             ; 109    ; 29              ; 29            ; 29              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|nios2_qsys_data_master_translator                                                                                                                                                                                     ; 115   ; 5              ; 0            ; 5              ; 112    ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|nios2_qsys_instruction_master_translator                                                                                                                                                                              ; 100   ; 61             ; 2            ; 61             ; 109    ; 61              ; 61            ; 61              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|stored_interface_block_0|b2v_inst|fifo1|dcfifo_component|auto_generated|wrfull_eq_comp_msb_mux                                                                                                                        ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|stored_interface_block_0|b2v_inst|fifo1|dcfifo_component|auto_generated|wrfull_eq_comp_lsb_mux                                                                                                                        ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|stored_interface_block_0|b2v_inst|fifo1|dcfifo_component|auto_generated|rdemp_eq_comp_msb_mux                                                                                                                         ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|stored_interface_block_0|b2v_inst|fifo1|dcfifo_component|auto_generated|rdemp_eq_comp_lsb_mux                                                                                                                         ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|stored_interface_block_0|b2v_inst|fifo1|dcfifo_component|auto_generated|wrfull_eq_comp_msb                                                                                                                            ; 12    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|stored_interface_block_0|b2v_inst|fifo1|dcfifo_component|auto_generated|wrfull_eq_comp_lsb                                                                                                                            ; 14    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|stored_interface_block_0|b2v_inst|fifo1|dcfifo_component|auto_generated|wrfull_eq_comp1_msb                                                                                                                           ; 12    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|stored_interface_block_0|b2v_inst|fifo1|dcfifo_component|auto_generated|wrfull_eq_comp1_lsb                                                                                                                           ; 14    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|stored_interface_block_0|b2v_inst|fifo1|dcfifo_component|auto_generated|rdempty_eq_comp_msb                                                                                                                           ; 12    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|stored_interface_block_0|b2v_inst|fifo1|dcfifo_component|auto_generated|rdempty_eq_comp_lsb                                                                                                                           ; 14    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|stored_interface_block_0|b2v_inst|fifo1|dcfifo_component|auto_generated|rdempty_eq_comp1_msb                                                                                                                          ; 12    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|stored_interface_block_0|b2v_inst|fifo1|dcfifo_component|auto_generated|rdempty_eq_comp1_lsb                                                                                                                          ; 14    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst|stored_interface_block_0|b2v_inst|fifo1|dcfifo_component|auto_generated|ws_dgrp|dffpipe16                                                                                                                             ; 15    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
